parameter,value,unit,datetimeLocal
pm10,48.68,µg/m³,2026-03-16T01:15:00+07:00
pm10,48.4,µg/m³,2026-03-16T01:20:00+07:00
pm10,48.96,µg/m³,2026-03-16T01:25:00+07:00
pm10,49.37,µg/m³,2026-03-16T01:30:00+07:00
pm10,49.14,µg/m³,2026-03-16T01:35:00+07:00
pm10,49.07,µg/m³,2026-03-16T01:40:00+07:00
pm10,48.61,µg/m³,2026-03-16T01:45:00+07:00
pm10,47.71,µg/m³,2026-03-16T01:50:00+07:00
pm10,47.1,µg/m³,2026-03-16T01:55:00+07:00
pm10,48.22,µg/m³,2026-03-16T02:00:00+07:00
pm10,48.49,µg/m³,2026-03-16T02:05:00+07:00
pm10,47.59,µg/m³,2026-03-16T02:10:00+07:00
pm10,45.6,µg/m³,2026-03-16T02:15:00+07:00
pm10,45.31,µg/m³,2026-03-16T02:20:00+07:00
pm10,46.1,µg/m³,2026-03-16T02:25:00+07:00
pm10,46.57,µg/m³,2026-03-16T02:30:00+07:00
pm10,47.54,µg/m³,2026-03-16T02:35:00+07:00
pm10,47.44,µg/m³,2026-03-16T02:40:00+07:00
pm10,46.68,µg/m³,2026-03-16T02:45:00+07:00
pm10,46,µg/m³,2026-03-16T02:50:00+07:00
pm10,46.7,µg/m³,2026-03-16T02:55:00+07:00
pm10,48.04,µg/m³,2026-03-16T03:00:00+07:00
pm10,48.51,µg/m³,2026-03-16T03:05:00+07:00
pm10,48.69,µg/m³,2026-03-16T03:10:00+07:00
pm10,47.77,µg/m³,2026-03-16T03:15:00+07:00
pm10,47.15,µg/m³,2026-03-16T03:20:00+07:00
pm10,46.88,µg/m³,2026-03-16T03:25:00+07:00
pm10,45.64,µg/m³,2026-03-16T03:30:00+07:00
pm10,44.95,µg/m³,2026-03-16T03:35:00+07:00
pm10,45.79,µg/m³,2026-03-16T03:40:00+07:00
pm10,46.4,µg/m³,2026-03-16T03:45:00+07:00
pm10,46.67,µg/m³,2026-03-16T03:50:00+07:00
pm10,46.05,µg/m³,2026-03-16T03:55:00+07:00
pm10,46.85,µg/m³,2026-03-16T04:00:00+07:00
pm10,48.62,µg/m³,2026-03-16T04:05:00+07:00
pm10,48.49,µg/m³,2026-03-16T04:10:00+07:00
pm10,49.1,µg/m³,2026-03-16T04:15:00+07:00
